Labels,Document Files,Issue Number,Title,Contributor1,Contributor2
enhancement,editor.html,994,Screenshot outdated on repo,Park,Yang
enhancement,debugperl.html,987,no perl auto_complete,Park,Yang
Bug,documentation-browser.html,985,History: Browser preview / markdown preview are added to file open history when closed,Eun,Park
enhancement,debugphp.html,980,Autocomplete for php/laravel not working for typed method parameters,Park,Yang
enhancement,debugpython.html,978,"Add FAQ Entry (to Troubleshooting) in Docs about ""Python"" vs. ""Python 3""",Yang,
enhancement,search.html,975,new find / replace pane tab order  hotkeys,Park,Yang
enhancement,debugphp.html,974,Feature Request: Autocomplete and Calltips for HTML inside PHP variables,Park,Yang
Bug,codeintel.html,970,Komodo 9 Codeinteligence UpperLetters bug dont fixed,Eun,Park
enhancement,editor.html,954,Drag and Drop in editor  add preference to turn it off,Park,Yang
Bug,run.html,948,Run Inline: Doesn't support abbreviated PHP tags,Eun,Park
enhancement,keybind.html,947,wish: spell checking  add word to ignored words with key binding,Park,Yang
Bug,files.html,945,Preview should auto-update and scroll.,Eun,Park
Bug,linter-reference.html,944,HTML5 Syntax Checking doesn't work on some html5 elements,Eun,Park
Bug,editor.html,94,Toolbar buttons toggle/save/persist inconsistently,Eun,Park
enhancement,codeintel.html,928,Fuzzy matching in code-intel (autocomplete),Park,Yang
enhancement,prefs.html,917,Prefs: Servers: hostname field validation and input cleaning,Yang,
enhancement,debugperl.html,914,Variable highlighting in double quoted strings of Perl scripts (KOMODO IDE 9.3),Park,Yang
enhancement,project.html,913,Project: renaming project tries to close all project files,Yang,
Bug,editor.html,905,Feature request: Filter places based on RCS properties,Eun,Park
enhancement,editor.html,904,Selected Text Char wrapping: Keep selected text selected,Park,Yang
enhancement,commando.html,897,Tools > Addons: to open in Commando > Package top level scope,Yang,
enhancement,commando.html,896,Commando packages: incorrect context menu,Yang,
Bug,editor.html,883,Hard to control search panels with tab key,Eun,Park
Bug,run.html,882,PHP run-inline tries to load xdebug and fails,Eun,Park
enhancement,macros.html,880,Make codeintel work with all string lengths,Park,Yang
enhancement,prefs.html,869,Multiple Selection - remove Previous Occurrence,Park,Yang
Bug,editor.html,868,Add Unity Menubar support ,Eun,Park
enhancement,debugphp.html,863,Double-click on PHP variable selects more than one,Park,Yang
enhancement,prefs.html,857,icons in vertical tabs looks a bit messy,Park,Yang
Bug,files.html,841,OpenFiles: Sort tabs cannot be toggled,Eun,Park
Bug,commando.html,834,Commando: Non-recursive searches no longer work ,Eun,Park
enhancement,linter-reference.html,827,KomodoIDE 9.3 spellcheck words in literal strings; shouldn't do that,Park,Yang
Bug,macros.html,820,Elastic tabstops width,Eun,Park
enhancement,linter-reference.html,82,Add syntax checking warnings/errors to Notify,Park,Yang
enhancement,editor.html,811,Disable Auto-Abbreviations in all but regular editing mode,Park,Yang
Bug,editor.html,80,Go To Anything menu item check state is backwards,Eun,Park
enhancement,linter-reference.html,797,Update default JS syntax checker to JSHINT with es6 support enabled,Park,Yang
enhancement,search.html,795,Include/Exclude field for in-project find dialog,Park,Yang
Bug,files.html,792,Tabs don't allow to distinguish between same file names ,Eun,Park
enhancement,prefs.html,788,Prefs > Show all options is basically hidden away,Park,Yang
enhancement,commando.html,786,Commando: Shell-scope: export or save command to Toolbox.,Yang,
enhancement,project.html,783,CSS codeintel should read any CSS files in the project ,Park,Yang
enhancement,debugphp.html,769,Auto-complete for variables contains functions in PHP,Yang,
Bug,custtbi.html,762,Images of New Toolbar Buttons Difficult to See,Eun,Park
enhancement,debugnode.html,747,Support debugging for latest NodeJS version,Park,Yang
enhancement,prefs.html,746,Enhancement Highlight object keys as strings,Park,Yang
enhancement,prefs.html,743,Enhancement: ES6 string template highlighting,Park,Yang
enhancement,debugnode.html,742,Enhancement: JSCS integration?,Park,Yang
Bug,debugger.html,738,Display Warning When Trying to Locally Debug Remote Files (It Tries to Open Them Instead and Errors),Eun,Park
enhancement,prefs.html,737,Feature request: less  scss and sass variables autocompletion,Park,Yang
enhancement,prefs.html,732,Some HTML tags highlight issue,Park,Yang
enhancement,publish.html,731,Indicate when automatic push to place is ready (publishing),Park,Yang
enhancement,editor.html,727,Add editor context menu for bookmarks,Park,Yang
enhancement,editor.html,715,Folding region code CSS,Park,Yang
enhancement,prefs.html,697,Markdown Preview: unreachable resource in markdown triggers alert,Park,Yang
enhancement,editor.html,690,Komodo IDE  version 9.3.0 on Ubuntu 14.04 Column Selection Broke,Park,Yang
enhancement,extensions.html,688,Update Komodo API Catalog,Park,Yang
enhancement,places.html,686,"Komodo shouldn't show the path for the ""New Tab"" tab",Park,Yang
enhancement,commando.html,675,Remove links to old addon dialog,Park,Yang
enhancement,debugchrome.html,674,9.3 Auto multi-caret for XML tags,Park,Yang
Bug,commando.html,667,Commando: Relative paths don't seem to work. ,Eun,Park
enhancement,debugnode.html,664,Komodo still randomly opens JS or NodeJS files,Park,Yang
enhancement,debugchrome.html,662,html4 auto completion doesn't always work,Park,Yang
enhancement,editor.html,656,Hide autocompletions when input matches completion,Park,Yang
enhancement,editor.html,649,Auto-wrap with delimiters should only trigger on plain text selections,Park,Yang
enhancement,run.html,630,Don't auto-scroll command output if the user scrolled up,Park,Yang
enhancement,prefs.html,628,Skins: After installing and restarting Komodo should start with new skin.,Park,Yang
enhancement,prefs.html,618,Color picker no longer works in 9.3 (master),Park,Yang
enhancement,run.html,613,Transpose: extend/change cmd_lineTranspose[Up | Down] to transpose current selection,Park,Yang
enhancement,editor.html,610,Column Select + Transpose line does not actually transpose text,Park,Yang
enhancement,prefs.html,607,separate the autocomplete and calltip config,Park,Yang
