Labels,Document Files,Issue Number,Title,Contributor1,Contributor2
Feature,Searching,6175,Feature Request,Yang,Lee
Feature,user-defined-language-system,6173,EDIFACT and X12 lexers are missing from NP++,Yang,Lee
Feature,plugins,5744,Add new plugins API messages for getting/releasing Scintilla indicator number,Yang,Lee
Feature,Auto-completion,5296,Enable.disable auto-complete based on specific file/file type,Yang,Lee
Feature,Preferences,5034,Highlight trailing white-space,Yang,Lee
Feature,Preferences,4937,Secondary Bertical Edge,Yang,Lee
Feature,Preferences,3522,Add Bulgarian MIK code table under cyrillic character sets,Yang,Lee
Feature,Preferences,3292,syntax highlight for Maxima CAS,Yang,Lee
Feature,Preferences,2105,Add Encoding-Character sets-Chinese-GB18030(Extended Chinese),Yang,Lee
Feature,sessions,7749,"Add ""Fold All"" tollbar command in Folder As Workspace",Yang,Lee
Feature,sessions,7736,Add feature to select/show current editing file in Folder As Workspace,Yang,Lee
Feature,plugins,5802,Allow extra plugin DLL files to be loaded automatically,Yang,Lee
Feature,sessions,5597,Copy file name too under folder As Workspace,Yang,Lee
Feature,sessions,5574,"Context menu ""Folder as Workspace""",Yang,Lee
Feature,Preferences,5533,"Open File should remember the ""Files of type:"" field between executions",Yang,Lee
Feature,Searching,5322,Select the next occurrence-shortcut,Yang,Lee
Feature,Searching,5399,Added multicursor improbements,Yang,Lee
Feature,plugins,5311,Support rename for unnamed tabs,Yang,Lee
Feature,plugins,3994,Temporarily Name Unsaved Tabs,Yang,Lee
Feature,plugins,5233,alphabetize Plugins in Plugins Admin,Yang,Lee
Feature,Preferences,5124,add support for GB18030,Yang,Lee
Feature,Preferences,4872,Remember read-only status of opened files,Yang,Lee
Feature,Preferences,4409,Read-only Flag Cleared Upon Close&Reopen,Yang,Lee
Feature,Preferences,3115,Possible Feature Idea-Paste to existing tab,Yang,Lee
Feature,Editing,2901,Needs more columns,Yang,Lee
Feature,Editing,2162,copy on select feature in notepad++,Yang,Lee
Feature,other-resources,2033,Move Tab Forward/Backward,Yang,Lee
Feature,other-resources,1864,Implement user commands for moving the current file tab,Yang,Lee
Feature,Editing,2025,Sort as integers doesn't work correctly for lines with two integers,Yang,Lee
Feature,plugins,1976,Copy result of find onto other tab,Yang,Lee
Feature,Searching,1975,For replace function should be a checkbox to allow replace in readonly files,Yang,Lee
Feature,Preferences,1974,string hight light also visible in scrollbar,Yang,Lee
Feature,other-resources,1801,dealing with many open documents,Yang,Lee
Feature,Preferences,1786,Give Notepad++ Default File Associations,Yang,Lee
Feature,programing-languages,1652,Add support for python GUI and lisp,Yang,Lee
