Labels,Document Files,Section,Issue Number,Title,Contributor
Enhencement,PHP,,3479,Support PHP 7.2,Park
Enhencement,Node.js,,3421,Update JS Linting to use ESLint which includes linting for JSX,Park
Enhencement,Preferences,,3282,Preferences search add highlight matching prefrences,Park
Enhencement,Support & Feedback,,3157,Sign License executable for Windows,Park
Enhencement,The komodo Workspace,,3140,Toolbox entry for Slashdot should be removed or replaced,Park
Enhencement,Commando (Go To Anything),,3136,Commando: implement pagination in commando,Park
Enhencement,documentation browser,,3076,no back/forward or reload buttons in new preview tool,Park
Enhencement,Debugger,,3001,Support XUL CodeIntel,Park
Enhencement,Templates,,2992,Template Files properties dialog should provide dropdown of available Interpolations,Park
Enhencement,Code intelligence,,2985,Unable to insert variable/function by clicking on the suggestions,Park
Enhencement,documentation browser,,2979,Go should use legacy parser by default (symbol browser) ,Park
Enhencement,The komodo Workspace,,2629,The live preview toolbar slightly exceeds the height of the statusbar,Park
Enhencement,Debugger,,2966,Print debugging needs its own tool,Park
Enhencement,Code intelligence,,2964,Codeintel shouldnt scan your home folder ,Park
Enhencement,History,,2940,Support history in commit messages,Park
Enhencement,Templates,,2926,Confusing menu label for Folder Templates,Park
Enhencement,The komodo Workspace,,2793,Not able to close the Preview without using the button menu,Park
Enhencement,Working With Files,,2774,Figure out what to do with HTML Doctypes/namespaces,Park
Enhencement,Templates,,2759,Create Template Toolbox files for major languages.,Park
Enhencement,Code intelligence,,2729,"Symbol Browser warns ""Buffer is not supported"" when New Tab view is open",Park
Enhencement,Find & Replace,,2705,"CodeIntel: Need to forward user-specified directories as ""importPaths""",Park
Enhencement,Find & Replace,,2678,Find by filename in remote files?,Park
Enhencement,Syntax Checker,,2673,Implement better indent width detection,Park
Enhencement,Commando (Go To Anything),,2585,Commando: show a tip when next/previous/current item is not available¡¦,Park
Enhencement,Find & Replace,,2433,"Toolbox HTML anchor tags in wrong case and space missing in ""w/Dialog"" ",Park
Enhencement,Commando (Go To Anything),,2401,open folder in Place from commando,Park
Enhencement,editor,,2395,Auto edit delimiters should cancel sooner,Park
Enhencement,Preferences,,2391,expand indicator in prefs is hard to see ,Park
Enhencement,Unit testing,,2364,unit testing - komodo becomes less responsive as number of tests increases,Park
Enhencement,Interactive shell,,2346,Can't see Selected Text with Default scheme,Park
Enhencement,Preferences,,2209,Prefs > Environmental: Enable copy/edit of System vars in all scopes,Park
Enhencement,Support & Feedback,,2204,Support keyword auto completions for Perl ,Park
Enhencement,Projects,,2130,Scan projects when they are first opened,Park
Enhencement,The Komodo Workspace,,2127,Create indent safe paste function,Park
Enhencement,Debugger,,1918,About Komodo dialog should include Beta/alpha information,Park
Enhencement,Find & Replace,,1906,non-alpha-numeric chars break callbacks and callouts,Park
Enhencement,Support & Feedback,,1882,Komodo docs support page is very outdated,Park
Enhencement,Code intelligence,,1877,Go to definition for SCSS/Less/SASS variables,Park
Enhencement,Places Panel,,1813,Create project in current path (based on opened path in Places),Park
Enhencement,Editor,,1790,Continue multiline comment (SQL SCSS),Park
Enhencement,Run Commands,,1780,"Create command ""Multi-caret around selection""",Park
Enhencement,Toolbox,,1755,Drag and drop kpf files on Komodo should import toolbox items,Park
Enhencement,Keybindings,,1723,Shift+Backspace does not do backspace,Park
Enhencement,PHP,,1707,PHP7: built-in xdebug is missing,Park
Enhencement,Regex Tool,,1704,Ruby: highlight `%<modifier>{}` properly,Park
Enhencement,Build tools,,1688,Add tooltip to spelling errors,Park
Enhencement,Preferences,,1684,Add preference for xdebug timeout,Park
Enhencement,Interpolation Shortcuts,,1665,default keyboard shortcuts should respect platform standards,Park
Enhencement,Documentation browser,,1629,Investigate adding ctags support,Park
Enhencement,Interactive shell,,1568,Interactive shell is editable,Park
Enhencement,Komodo Packages,,1524,Preserve servers when upgrading across major versions,Park
Enhencement,The Komodo Workspace,,1519,Persistent storage of widget layout ,Park
Enhencement,The komodo Workspace,,1494,Foreground for state ok state/ info/ etc/ not configurable,Park
Enhencement,The Komodo Workspace,,1490,Color Scheme Editor: make Interface items more understandable or create a help page for it,Park
Enhencement,Unit testing,,1480,RSpec for Ruby Unit Tests,Park
Enhencement,Support & Feedback,,1466,Remove Komodo-feedback email from Internal Error dialog,Park
Enhencement,Code intelligence,,1457,Symbol browser should only search current project,Park
Enhencement,Ruby,,1454,Prevent byebug from dumping files to our projects,Park
Enhencement,Ruby,,1435,Associate *.ru to Ruby,Park
Enhencement,PHP,,1427,Odd indentation in PHP upon hitting Enter at certain times,Park
Enhencement,PHP,,1422,Detect phpunit.phar better,Park
Enhencement,Tutorials,,1389,Ruby catalog needs updating (2.3.0),Park
Enhencement,Toolbox,,1343,Komodo IDE v10 not installed with v10 samples in Toolbox,Park
Enhencement,Perl,,1286,Perl Debugger: Locals view jumps around with a couple dozen variables,Park
Enhencement,PHP,,1282,PHP phpdoc array type,Park
Enhencement,Code intelligence,,1272,CodeIntel: Pre-scan project structure and exclude problematic directories,Park
Enhencement,Google Chrome,,1226,Chrome debugging: Allow specifying a url as the script,Park
Enhencement,Google Chrome,,1225,Chrome debugging: Allow debugging from html-like languages,Park
Enhencement,Snippets,,1219,Select Previous (part of) Word skips linebreak,Park
Enhencement,Find & Replace,,1176,Allow blow selection when folding is off,Park
Enhencement,Python,,1170,Always enable the HTML5 catalog,Park
Enhencement,Google Chrome,,1164,Extend cmd_blockselect to select contents of an HTML tag,Park
Enhencement,Find & Replace,,1158,Select block on classes is slow,Park
Enhencement,Preferences,,1149,New UI: Opening Color Scheme Asks for Saving Preferences Superfluously,Park
Enhencement,Debugger,,1141,Hide autocompletions when terminated by non-alphanumeric characters,Park
Enhencement,Preferences,,1131,Add pref to make multi-caret word insensitive,Park
Enhencement,Commando (Go To Anything),,1120,Sections scope does not show class name,Park
Enhencement,Templates,,1105,Support ES6 Template Literals,Park
Enhencement,Projects,,1093,Code side pane can't handle nested less  scss and sass,Park
Enhencement,Preferences,,1090,Add support for css pointer events,Park
Enhencement,Syntax checker,,1086,Default to jshint,Park
Enhencement,Interactive Shell,,1081,Disable multi caret with ctrl+click,Park
Enhencement,Toolbox,,1078,Cannot delete 'Rails Tools' from toolbox,Park
Enhencement,Preferences,,1062,"Add all ""CSS Legal Color Values"" to komodo",Park
Enhencement,Docker and Vagrant integration,,1056,Docker: Use Ubuntu 14.04 image  a lot of dependencies were removed from 12.04 ,Park
Enhencement,Debugger,,1052,Folding code defined by regions,Park
Enhencement,PHP,,1051,PHP7: Komodo should show strict_types errors,Park
Enhencement,PHP,,1049,PHP7: preg_replace_callback_array function not in auto-complete db? ,Park
Enhencement,Debugger,,1023,String wrapping with delimiter chars fails when delim chars are in the string,Park
Enhencement,Working With Files,,1019,html dual tag editing should disable after space,Park
Enhencement,Find & Replace,,994,Screenshot outdated on repo,Park
Enhencement,Perl,,987,no perl auto_complete,Park
Enhencement,PHP,,980,Autocomplete for php/laravel not working for typed method parameters,Park
Enhencement,Find & Replace,,975,new find / replace pane tab order  hotkeys,Park
Enhencement,PHP,,974,Feature Request: Autocomplete and Calltips for HTML inside PHP variables,Park
Enhencement,Editor,,954,Drag and Drop in editor  add preference to turn it off,Park
Enhencement,Syntax Checker,,947,wish: spell checking  add word to ignored words with key binding,Park
Enhencement,Code intelligence,,928,Fuzzy matching in code-intel (autocomplete),Park
Enhencement,Perl,,914,Variable highlighting in double quoted strings of Perl scripts (KOMODO IDE 9.3),Park
Enhencement,Editor,,904,Selected Text Char wrapping: Keep selected text selected,Park
Enhencement,Working With Files,,880,Make codeintel work with all string lengths,Park
Enhencement,Preferences,,869,Multiple Selection - remove Previous Occurrence,Park
Enhencement,Perl,,866,Continue SCSS comments with Shift-Enter,Park
Enhencement,PHP,,863,Double-click on PHP variable selects more than one,Park
Enhencement,The Komodo Workspace,,857,icons in vertical tabs looks a bit messy,Park
Enhencement,Syntax Checker,,827,KomodoIDE 9.3 spellcheck words in literal strings; shouldn't do that,Park
Enhencement,Working With Files,,812,Consider multi-carets when auto-inserting end tags,Park
Enhencement,Editor,,811,Disable Auto-Abbreviations in all but regular editing mode,Park
Enhencement,Syntax Checker,,797,Update default JS syntax checker to JSHINT with es6 support enabled,Park
Enhencement,Extensions,,795,Include/Exclude field for in-project find dialog,Park
Enhencement,Preferences,,788,Prefs > Show all options is basically hidden away,Park
Enhencement,Projects,,783,CSS codeintel should read any CSS files in the project ,Park
Enhencement,Node.js,,747,Support debugging for latest NodeJS version,Park
Enhencement,Preferences,,746,Enhancement Highlight object keys as strings,Park
Enhencement,Preferences,,743,Enhancement: ES6 string template highlighting,Park
Enhencement,Node.js,,742,Enhancement: JSCS integration?,Park
Enhencement,Preferences,,737,Feature request: less  scss and sass variables autocompletion,Park
Enhencement,Google Chrome,,732,Some HTML tags highlight issue,Park
Enhencement,Publishing,,731,Indicate when automatic push to place is ready (publishing),Park
Enhencement,Editor,,727,Add editor context menu for bookmarks,Park
Enhencement,Debugger,,715,Folding region code CSS,Park
Enhencement,Templates,,712,Ugly borders around scrolling buttons in File Type menu,Park
Enhencement,Preferences,,697,Markdown Preview: unreachable resource in markdown triggers alert,Park
Enhencement,Debugger,,690,Komodo IDE  version 9.3.0 on Ubuntu 14.04 Column Selection Broke,Park
Enhencement,Komodo Packages,,688,Update Komodo API Catalog,Park
Enhencement,The Komodo Workspace,,686,"Komodo shouldn't show the path for the ""New Tab"" tab",Park
Enhencement,Commando (Go To Anything),,680,Commando doesn't display an icon for ids in Sections scope,Park
Enhencement,Extensions,,675,Remove links to old addon dialog,Park
Enhencement,Google Chrome,,674,9.3 Auto multi-caret for XML tags,Park
Enhencement,Node.js,,664,Komodo still randomly opens JS or NodeJS files,Park
Enhencement,Google Chrome,,662,html4 auto completion doesn't always work,Park
Enhencement,Debugger,,656,Hide autocompletions when input matches completion,Park
Enhencement,Extensions,,649,Auto-wrap with delimiters should only trigger on plain text selections,Park
Enhencement,Preferences,,646,Disable auto-abbreviations in multi-caret mode,Park
Enhencement,Run Commands,,630,Don't auto-scroll command output if the user scrolled up,Park
Enhencement,Preferences,,628,Skins: After installing and restarting Komodo should start with new skin.,Park
Enhencement,Preferences,,618,Color picker no longer works in 9.3 (master),Park
Enhencement,Run commands,,613,Transpose: extend/change cmd_lineTranspose[Up | Down] to transpose current selection,Park
