Labels,Document Files,Section,Issue Number,Title,Contributor
Bug,versioncontrol.md,File Comparison,10193,Unable to edit first file while comparing files,Lee
Feature-request,versioncontrol.md,File Comparison,20958,Allow to swap left and right hand side in diff editor?,Lee
Feature-request,versioncontrol.md,File Comparison,23547,Compare 2 files with multi selection?,Lee
Bug,versioncontrol.md,File Comparison,30088,Use?originalEditable?when comparing two files on disk,Lee
Bug,versioncontrol.md,editor/versioncontrol,43949,VS Code will not update (stuck on preparing to install page),Eun
Bug,versioncontrol.md,editor/versioncontrol,52855,VS Code was lost on shutdown with pending update,Eun
Feature-request,versioncontrol.md,File Comparison,57687,Allow to compare 3 files?,Lee
Feature-request,versioncontrol.md,File Comparison,68543,Compare file(s) between editor windows,Lee
Feature-request,versioncontrol.md,File Comparison,69097,File Comparison OS Shell Integration,Lee
Feature-request,versioncontrol.md,editor/versioncontrol,87926,Option to install update at end of VS code session ,Park
Bug,versioncontrol.md,editor/versioncontrol,88626,Closing VS Code with pending update reopens vs code after update,Eun
Feature-request,variables-reference.md,editor/variables-reference,90055,Variable substitution in task detail property,Park
Feature-request,variables-reference.md,editor/variables-reference,91967,Ability to filter user-made variables,Park
Feature-request,variables-reference.md,editor/variables-reference,92102,Show scopes errors in variables view rather than notification,Park
Bug,userinterface.md,User configurable menus,9,Commands in context menu,Lee
Feature-request,userinterface.md,File Open from Preview,2766,Automatically Activate Markdown Preview?,Lee
Feature-request,userinterface.md,File Open from Preview,8939,Show quick open results as preview while navigating through them,Lee
Feature-request,userinterface.md,User configurable menus,9285,User configurable menus.,Lee
Feature-request,userinterface.md,User configurable menus,9827,Sub menus for Editor Context Menu.,Lee
Bug,userinterface.md,User configurable menus,11625,Sub menus by extensions in explorer context menus,Lee
Bug,userinterface.md,User configurable menus,11682,Sub menus by extensions in explorer context menus item menus,Lee
Bug,userinterface.md,User configurable menus,12321,Sub menus by extensions in explorer context menus item menus,Lee
Feature-request,userinterface.md,File Selection,13641,Make it easier to create new files/folders from the explorer when many files are present,Lee
Bug,userinterface.md,File Selection,20394,Cannot add folder to root if only folders exist,Lee
Feature-request,userinterface.md,File Selection,20643,Remember project folders & Support for opening multiple project folders in the same window,Lee
Bug,userinterface.md,preview mode,20819,When in preview mode of a Markdown file  keep preview mode when browsing to a link (local at least),Lee
Bug,userinterface.md,Editor Groups,26490,Settings and Keybindings editor do not retain filters when moved across editor groups,Park
Feature-request,userinterface.md,preview mode,42730,Open Preview: support multi selection ,Park
Feature-request,userinterface.md,Editor Groups,49026,Allow to open an editor into a specific editor group,Park
Bug,userinterface.md,preview mode,52375,Preview features on Double Click,Lee
Bug,userinterface.md,File Selection,53626,Explorer - Context Menu File Duplicate & New File and Folder in the project root,Lee
Feature-request,userinterface.md,File Open from Preview,54418,Allow to open editor as pinned and preserve current preview editor?,Lee
Feature-request,userinterface.md,preview mode,55283,Setting a breakpoint in a file should take it out of preview mode?,Lee
Feature-request,userinterface.md,Get started / User Interface,58503,"Have a ""Copy Relative Path"" in the context menu (explorer  tab)",Chang
Feature-request,userinterface.md,preview mode,60027,"Allow disabling ""Replace Preview""",Lee
Feature-request,userinterface.md,Get started / User Interface,60276,Add keybinding commands to open files in preview or non-preview mode,Chang
Feature-request,userinterface.md,preview mode,60836,Open corresponding markdown file when click its link in preview mode,Lee
Feature-request,userinterface.md,preview mode,63237,preview mode?,Lee
Feature-request,userinterface.md,Get started / User Interface,63892,"[Feature Request] Add ""rename this file"" to right-click menu of tab bar and explorer bar",Chang
Feature-request,userinterface.md,File Open from Preview,64416,Allow only for some editors to open as preview (from SCM),Lee
Bug,userinterface.md,File Open from Preview,64937,Markdown preview doesn't remember location,Lee
Feature-request,userinterface.md,Get started / User Interface,66497,Explorer: support filtering,Chang
Feature-request,userinterface.md,File Open from Preview,68059,Allow to navigate previous/next file preview,Lee
Bug,userinterface.md,File Selection,68199,Create new File / Folder adds input field in wrong tree path,Lee
Feature-request,userinterface.md,File Selection,69455,Select project folders/subfolders/files in explorer view,Lee
Feature-request,userinterface.md,Editor Groups,69968,Support multiple sets of editor groups,Park
Feature-request,userinterface.md,preview mode,70719,Don't preview files that I open directly,Park
Feature-request,userinterface.md,Get started / User Interface,71239,Allow to drop a folder into the explorer to copy it in,Chang
Feature-request,userinterface.md,Get started / User Interface,76264,Pasting a file into a folder via the explorer should expand the folder,Chang
Feature-request,userinterface.md,Get started / User Interface,76752,Broken workflow: return to the old incremental numbering behaviour when pasting files,Chang
Feature-request,userinterface.md,Get started / User Interface,79205,Explorer tree does not show correct content when connected to case sensitive file system on a case insensitive platform,Chang
Feature-request,userinterface.md,Get started / User Interface,83396,Move Folder Prompt,Chang
Bug,userinterface.md,Get Started / User Interface,85124,Menu can be lost ,Eun
Bug,userinterface.md,Get started / User Interface,86028,New folder/file collapsed ,Eun
Bug,userinterface.md,Get Started / User Interface,86769,Clicking on List Widget triggers opening twice ,Eun
Feature-request,userinterface.md,Get Started / User Interface,87278,[feature] different list styling for quickinput,Park
Feature-request,userinterface.md,Get Started / User Interface,87280,Single area layout with tabbed Editor  Side Bar and Panels.,Park
Feature-request,userinterface.md,Get Started / User Interface,87317,Show deBug controls panel on sidebar ,Park
Feature-request,userinterface.md,Get Started / User Interface,87362,Add a setting or command to split editor groups and not move focus ,Park
Feature-request,userinterface.md,Get Started / User Interface,87475,Option to hide setting icon in sidebar ,Park
Feature-request,userinterface.md,Get Started / User Interface,87724,"Add ""Compare with Saved"" to context menu of tabs",Park
Feature-request,userinterface.md,Get Started / User Interface,88118,Support follow-mode editor layout,Park
Feature-request,userinterface.md,Get Started / User Interface,88612,API: add row support to document layout info,Park
Feature-request,userinterface.md,Get Started / User Interface,88627,[folding] seperate color for line numbers at collapsed row,Park
Feature-request,userinterface.md,Get Started / User Interface,88749,Consider adding a status bar for suggest widget ,Park
Feature-request,userinterface.md,Get Started / User Interface,88802,Improve UI view for arguments in settings,Park
