Labels,Document Files,Issue Number,Title,Contributor1,Contributor2
Feature-request,keybindings.md,92233,Alias keybindings in command palette,Park,Cho
Feature-request,nodejs-tutorial.md,92220,launch.json - allow serveReadyAction to launch another configuration,Park,Cho
Feature-request,csharp.md,92200,"""Unable to delete folder"" improvement",Park,Cho
Feature-request,themes.md,92191,Indicate active UI compoment in the workbench that has focus,Park,Cho
Feature-request,codebasics.md,92185,[folding] command that adds folding markers,Park,Cho
Feature-request,settings-sync.md,92166,Time line provider for sync resources,Park,Cho
Feature-request,themes.md,92111,Add Vintage cursorShape From Windows Terminal to editor.cursorStyle,Park,Cho
Feature-request,debugging.md,92102,Show scopes errors in variables view rather than notification,Park,Cho
Feature-request,userinterface.md,92076,Command Palette should return focus to terminal pane,Park,Cho
Feature-request,json.md,92042,"[json] support ""$id"" references.",Park,Cho
Feature-request,windows.md,92003,Show parent folder for recent workspaces in taskbar icon context menu,Park,Cho
Feature-request,themes.md,92079,Diff editor style: gutter markers instead of background color,Park,Cho
Feature-request,themes.md,91973,Use codicons in file icons,Park,Cho
Feature-request,userinterface.md,91967,Ability to filter user-made variables,Park,Cho
Feature-request,themes.md,91935,Customize search results colors,Park,Cho
Feature-request,settings-sync.md,91764,"Save in User/settings.json ""Don't ask about .[extension]""",Park,Cho
Feature-request,themes.md,91699,Allow to set background color for active panel title,Park,Cho
Feature-request,settings.md,91601,Add an entry point for sync from the settings ui,Park,Cho
Feature-request,intellisense.md,91657,Suggest: Insert with Enter and Replace with Tab,Park,Cho
Feature-request,command-line.md,91108,Add a command to file an issue (bug) with relevant info,Park,Cho
Feature-request,html.md,91074,Layout problems with bidirectional text lines,Park,Cho
Feature-request,editingevolved.md,91023,[folding] Command to jump to previous/next fold,Park,Cho
Feature-request,settings-sync.md,91011,Settings sync should support user tasks,Park,Cho
Feature-request,themes.md,90911,Adopt codicons for bundled extensions,Park,Cho
Feature-request,userinterface.md,90936,"Hard to click ""Quick Fix"" button",Park,Cho
Feature-request,userdefinedsnippets.md,90262,Allow empty string for snippet formating,Park,Cho
Feature-request,extension-gallery.md,90110,Allow custom editors to hook into Edit menu actions such as copy undo redo ¡¦,Park,Cho
Feature-request,tasks.md,90125,Add a task instancePolicy to task runOptions.,Park,Cho
Feature-request,tasks.md,90055,Variable substitution in task detail property,Park,Cho
Feature-request,userinterface.md,89998,show status bar problems count for current file only,Park,Cho
Feature-request,debugging.md,89825,launch.json: values from envFile not substituted in args,Park,Cho
Feature-request,themes.md,89779,Suggestion: highlight focused problem in panel,Park,Cho
Feature-request,themes.md,89710,Change the default Korean font,Park,Cho
Feature-request,debugging.md,89703,Global input variables between tasks.json and launch.json,Park,Cho
Feature-request,settings-sync.md,89595,Sync Settings UI: Quickpick UI comes at its limits...,Park,Cho
Feature-request,userinterface.md,89487,Search editor: should ask user to confirm overwrite when dirty,Park,Cho
Feature-request,themes.md,89470,Search editor: highlights should not hide when search viewlet is hidden,Park,Cho
